Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","11,247.45","11,307.60","11,210.05","11,284.30","32.15","0.29","5,226.71","20,350.08","12,103.05","10,004.55","1.37","-4.34"
"YESBANK","88.75","96.90","87.10","95.60","7.95","9.07","1,860.97","1,740.20","404.00","79.15","-75.03","-13.13"
"BAJFINANCE","3,046.50","3,278.00","2,994.00","3,272.00","225.50","7.40","69.45","2,207.92","3,762.00","1,912.20","20.96","-8.60"
"BAJAJFINSV","6,775.00","7,298.00","6,631.70","7,279.70","497.40","7.33","12.83","906.36","8,580.00","4,955.00","4.75","-12.78"
"EICHERMOT","16,443.90","17,476.90","16,327.20","17,126.00","689.15","4.19","2.30","392.26","29,800.00","16,175.00","-37.24","-10.41"
"INFRATEL","263.95","271.80","263.10","270.90","9.00","3.44","19.60","52.58","335.00","242.25","-5.58","0.41"
"HEROMOTOCO","2,397.80","2,487.55","2,366.50","2,466.60","80.10","3.36","10.86","265.01","3,380.00","2,360.00","-20.69","-4.57"
"M&M","545.90","566.40","545.00","564.70","17.15","3.13","50.64","283.84","993.00","541.90","-37.95","-11.99"
"BAJAJ-AUTO","2,547.00","2,679.95","2,506.25","2,624.00","77.00","3.02","21.06","550.57","3,149.95","2,420.00","-0.55","-7.73"
"ZEEL","392.10","405.20","389.40","402.55","10.60","2.70","147.52","591.21","540.75","288.30","-22.74","17.29"
"TATAMOTORS","138.10","150.15","138.10","148.20","3.90","2.70","839.06","1,224.94","282.00","129.00","-42.52","-7.63"
"ICICIBANK","410.25","419.40","408.55","419.15","10.15","2.48","174.94","723.75","443.90","272.25","52.61","-3.34"
"ASIANPAINT","1,488.10","1,530.80","1,485.60","1,525.00","29.15","1.95","24.21","366.17","1,530.80","1,118.00","5.16","11.88"
"DRREDDY","2,640.05","2,714.00","2,621.70","2,705.00","50.90","1.92","5.38","143.74","2,964.00","1,872.95","29.54","6.66"
"KOTAKBANK","1,490.00","1,517.95","1,477.05","1,512.10","27.05","1.82","16.81","251.83","1,555.90","1,002.20","15.00","1.90"
"IBULHSGFIN","618.00","639.75","613.50","623.00","11.00","1.80","82.87","520.37","1,397.00","487.85","-52.35","0.23"
"INDUSINDBK","1,400.50","1,422.00","1,386.55","1,416.50","24.85","1.79","31.07","436.57","2,038.00","1,333.15","-27.92","-2.29"
"TITAN","1,085.80","1,112.20","1,083.00","1,107.50","17.05","1.56","11.29","123.94","1,340.90","732.30","27.90","-15.98"
"LT","1,370.90","1,397.25","1,363.10","1,393.00","20.60","1.50","30.20","418.78","1,607.00","1,182.50","5.47","-9.25"
